sym,date,d,entry,sl,tp1,tp2,outcome,ret,bars,filled,entry_ts,exit_ts,sl_dist,mae,mfe,atr_pct,mom20,pos20_abs,gap,clt50,s20lt50,off_mid,fee,slip,ret_gross
BTC-USDT,2024-06-14,short,66042.9,68684.616,62080.325999999994,52755.06851999999,TP1,5.900000000000001,56,False,2024-06-15 00:00:00+00:00,2024-06-24 12:00:00+00:00,4.000000000000001,1.9337430670064548,8.241461232017363,50.0,-4.700000000000005,1.1832598506284773,1,False,False,0.6109048860426308,0.1,0.0,6.000000000000001
ETH-USDT,2024-06-18,short,3585.4304529852266,3728.8476711046355,3370.304625806113,2864.0418458445993,TP1,5.899999999999997,27,True,2024-06-19 16:00:00+00:00,2024-06-24 08:00:00+00:00,3.9999999999999973,1.131511196403078,6.473712320705354,50.0,-7.556113498292105,1.2252468938175973,1,False,False,-0.4999999999999998,0.1,0.0,5.9999999999999964
BTC-USDT,2024-08-29,short,59350.1,61724.104,55789.094,47408.859879999996,TP1,5.900000000000003,30,False,2024-08-30 00:00:00+00:00,2024-09-04 04:00:00+00:00,4.000000000000002,1.012466701825273,6.392912564595505,77.0,-2.4520890174550503,0.33190115332532966,2,True,True,0.3827814007150845,0.1,0.0,6.000000000000003
ETH-USDT,2024-08-29,short,2527.69,2628.7976000000003,2376.0285999999996,2019.1187719999987,TP1,5.900000000000016,30,False,2024-08-30 00:00:00+00:00,2024-09-04 04:00:00+00:00,4.000000000000011,1.5045357619011723,8.893495642266267,31.0,-2.732894397604968,0.6926865575244265,3,True,True,0.6826220216358622,0.1,0.0,6.000000000000016
ETH-USDT,2024-10-16,long,2611.32,2506.8672,2741.8860000000004,2924.6784000000002,TP1,4.900000000000009,23,False,2024-10-17 00:00:00+00:00,2024-10-21 00:00:00+00:00,4.000000000000001,1.3832084922568029,5.729669286031581,3.0,-0.7857142857142785,1.0937347391455796,2,False,False,0.7784422934202574,0.1,0.0,5.000000000000009
ETH-USDT,2024-10-30,long,2525.2430714285715,2424.2333485714285,2651.5052250000003,2828.2722400000007,SL,-4.660000000000008,14,True,2024-10-31 16:00:00+00:00,2024-11-03 04:00:00+00:00,4.000000000000008,4.128041082777805,2.4606315833301826,17.0,11.445669528922187,0.784786640878863,2,False,False,-0.5000000000000016,0.1,0.5600000000000007,-4.000000000000008
ETH-USDT,2024-12-13,long,3907.13,3750.8448,4102.486500000001,4375.985600000001,TP1,4.90000000000002,16,False,2024-12-14 00:00:00+00:00,2024-12-16 20:00:00+00:00,4.000000000000006,2.120482297747961,5.181040815125176,95.0,15.09873062726279,0.935551066713504,3,False,False,0.8906626894134625,0.1,0.0,5.0000000000000195
BTC-USDT,2024-12-28,short,95306.3,99118.55200000001,89587.92199999999,76130.67243999997,SL,-4.660000000000008,48,False,2024-12-29 00:00:00+00:00,2025-01-06 04:00:00+00:00,4.000000000000008,4.295308914520863,3.9565065478357706,77.0,-5.772510526976637,0.9062195840163145,1,True,False,0.4400580318272962,0.1,0.5600000000000007,-4.000000000000008
BTC-USDT,2025-01-10,short,94728.6,98517.744,89044.884,75669.20568,TP1,5.9,15,False,2025-01-11 00:00:00+00:00,2025-01-13 16:00:00+00:00,4.0,1.3104806784856886,6.008322724077001,69.0,-2.6289442901459736,0.35233749206273635,2,True,True,0.4014557187890319,0.1,0.0,6.0
ETH-USDT,2025-01-10,short,3267.16,3397.8464,3071.1304,2609.8074079999997,TP1,5.899999999999996,14,False,2025-01-11 00:00:00+00:00,2025-01-13 12:00:00+00:00,4.000000000000002,2.1982394495525215,6.481164069099769,60.0,-2.1544727621215287,0.8612129327916073,3,True,True,1.0289940546060108,0.1,0.0,5.999999999999996
